## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
WOOTWISOT.1,Sonja Insulated Jacket Green,coat,Sonja Insulated Jacket Green,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Sonja%20Green.jpg,189,http://localhost:4502/content/we-retail/language-masters/en/products/women/coats/sonja-insulated-jacket.html#wootwisot.1-XS,,,,,,,,,,,,,
WOOTSUDET,Devi Sleeveless Shirt,shirt,Devi Sleeveless Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Devi.jpg,45,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/devi-sleeveless-shirt.html#wootsudet-XXS,,,,,,,,,,,,,
WOSWSUSOC.1,Soleil Tunic Yellow,shirt,Soleil Tunic Yellow,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Soleil%20Yellow.jpg,69,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/soleil-tunic.html#woswsusoc.1-XS,,,,,,,,,,,,,
331050524,Hiking Pants,pants,Hiking Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/331050524.jpg,86.99,http://localhost:4502/content/we-retail/language-masters/en/products/women/pants/hiking-pants.html#331050524,,,,,,,,,,,,,
116138647,Faba Running Pants,pants,Faba Running Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/116138647.jpg,39.99,http://localhost:4502/content/we-retail/language-masters/en/products/women/pants/faba-running-pants.html#116138647,,,,,,,,,,,,,
WOHISUFLS,Fleet Fox Running Shorts,shorts,Fleet Fox Running Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Fleet%20Fox.jpg,35,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/fleet-fox-running-shorts.html#wohisufls-XS,,,,,,,,,,,,,
WOHISUCAT,Candide Trail Short,shorts,Candide Trail Short,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Candide.jpg,48,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/candide-trail-short.html#wohisucat-XXS,,,,,,,,,,,,,
WOHISUDES,Desert Sky Shorts,shorts,Desert Sky Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Desert%20Sky.jpg,35,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/desert-sky-shorts.html#wohisudes-0,,,,,,,,,,,,,
WOSWSUBAS,Bahamas Shorts,shorts,Bahamas Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Bahamas.jpg,38,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/bahamas-shorts.html#woswsubas-XS,,,,,,,,,,,,,
90019930,Gloves,gloves,Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/90019930.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/women/gloves/gloves.html#90019930,,,,,,,,,,,,,
EQSUSUBED,"Bear 8'8"" Longboard",equipment,"Bear 8'8"" Longboard",https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Bear.jpg,1100,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/bear-8_8_-longboard.html#eqsusubed,,,,,,,,,,,,,
EQSUSUTHD,The Stretch Longboard,equipment,The Stretch Longboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/stretch_top.png,900,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/the-stretch-longboard.html#eqsusuthd,,,,,,,,,,,,,
EQSUSURUD,Rusty Parrot Shortboad,equipment,Rusty Parrot Shortboad,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Rusty%20Parrot.jpg,895,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/rusty-parrot-shortboad.html#eqsusurud,,,,,,,,,,,,,
EQSUSUELY,El Greco 8' Shorty,equipment,El Greco 8' Shorty,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/El%20Greco.jpg,750,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/el-greco-8_-shorty.html#eqsusuely,,,,,,,,,,,,,
EQSUSUEVD,Even Keel Paddleboard,equipment,Even Keel Paddleboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Even%20Keel.jpg,800,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/even-keel-paddleboard.html#eqsusuevd,,,,,,,,,,,,,
EQSUSUCHD,Chasing Tail Surfboard,equipment,Chasing Tail Surfboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Chasing%20Tail.jpg,785,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/chasing-tail-surfboard.html#eqsusuchd,,,,,,,,,,,,,
EQSUSUTHO,The Neutrino,equipment,The Neutrino,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Neutrino.jpg,695,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/the-neutrino.html#eqsusutho,,,,,,,,,,,,,
EQRUSUBPE,BPA-Free Water Bottle,equipment,BPA-Free Water Bottle,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/Source/Water%20Bottle.jpg,18,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/bpa-free-water-bottle.html#eqrusubpe,,,,,,,,,,,,,
30941863,Basa MP3 Player,equipment,Basa MP3 Player,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/30941863.jpg,149.99,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/basa-mp3-player.html#30941863-one,,,,,,,,,,,,,
EQRUSUGOR,GoMobile Fitness Monitor/Smart Music Player,equipment,GoMobile Fitness Monitor/Smart Music Player,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/Source/GoMobile.jpg,150,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/gomobile-fitness-monitorsmart-music-player.html#eqrusugor,,,,,,,,,,,,,
EQSWSUPUS.1,Pufferfish Snorkeling Fins Blue,equipment,Pufferfish Snorkeling Fins Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Pufferfish%20Blue.jpg,25,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/pufferfish-snorkeling-fins.html#eqswsupus.1-S,,,,,,,,,,,,,
EQSWSUAQR,Aqua Force GPS Fitness Monitor,equipment,Aqua Force GPS Fitness Monitor,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Aqua%20Force.jpg,200,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/aqua-force-gps-fitness-monitor.html#eqswsuaqr-One%20size,,,,,,,,,,,,,
EQSWSUCAL,Cabana Stripe Towel,equipment,Cabana Stripe Towel,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Source/Cabana.jpg,18,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/cabana-stripe-towel.html#eqswsucal-One%20size,,,,,,,,,,,,,
EQSWSUPRS.1,Pro Series Swim Goggles Blue,equipment,Pro Series Swim Goggles Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Swim%20Goggles%20Blue.jpg,25,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/pro-series-swim-goggles.html#eqswsuprs.1-One%20size,,,,,,,,,,,,,
EQSWSUMAK,Manta Ray Snorkel and Dive Mask,equipment,Manta Ray Snorkel and Dive Mask,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Manta%20Ray.jpg,50,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/manta-ray-snorkel-and-dive-mask.html#eqswsumak-One%20size,,,,,,,,,,,,,
EQBISUCOL,Compact Chain Tool,equipment,Compact Chain Tool,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/Chain%20Tool.jpg,15,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/compact-chain-tool.html#eqbisucol,,,,,,,,,,,,,
EQBISUBLP,Blast Mini Pump,equipment,Blast Mini Pump,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Blast.jpg,15,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/blast-mini-pump.html#eqbisublp,,,,,,,,,,,,,
EQBISUMXS,MX121 Sport Pedals,equipment,MX121 Sport Pedals,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/MX121.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/mx121-sport-pedals.html#eqbisumxs-One%20size,,,,,,,,,,,,,
EQWRSNBD,Flying Snowboard,equipment,Flying Snowboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Winter%20Sports/Snowboard.jpg,599,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/snow-sports/flying-snowboard.html#eqwrsnbd-One%20size,,,,,,,,,,,,,
EQRUSUFLE,Fleet Cross-Training Shoe,footwear,Fleet Cross-Training Shoe,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Source/Fleet%20Shoe.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/fleet-cross-training-shoe.html#eqrusufle-9,,,,,,,,,,,,,
EQSMCZ.1,Cuzco Blue,backpack,Cuzco Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Hiking/Source/Backpack_J.jpg,210,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/hiking/cuzco.html#eqsmcz.1,,,,,,,,,,,,,
EQBISUSET,Sequoia Bike Helmet,helmet,Sequoia Bike Helmet,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/Sequoia.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/sequoia-bike-helmet.html#eqbisuset-S,,,,,,,,,,,,,
EQBISUMAS,Marin Mountain Bike Shoes,footwear,Marin Mountain Bike Shoes,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Marin.jpg,110,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/marin-mountain-bike-shoes.html#eqbisumas-7,,,,,,,,,,,,,
